The Rains of Castamere	The National	Game of Thrones: Season 2 (Music from the HBO Series)
Exogenesis: Symphony Part 1 [Overture]	Muse	Six Studio Albums
Devil Trigger	Ali Edwards & Casey Edwards	Devil Trigger - Single
Plastic Heart	Nostalghia, Tyler Bates & Joel J. Richard	John Wick: Chapter 2 (Original Motion Picture Soundtrack)
Secret of Mana	Angèle Dubeau & La Pietà	Game Music
Metal Gear Solid 3 - Snake Eater (Live)	Video Games Live & Tia Carroll	Level 4
The Wanderer (From the "Fallout 4 - The Wanderer" Video Game Trailer) [Remastered]	Dions	The Wanderer (From the "Fallout 4 - The Wanderer" Video Game Trailer) [Remastered] - Single
Ich weiß es nicht (Ministry Remix)	Lindemann & Ministry	Ich weiß es nicht (Ministry Remix) - Single
Waiting for the Summer	Deepend & Graham Candy	Waiting for the Summer - Single
Coronation	Nostalghia & Tyler Bates	John Wick: Chapter 2 (Original Motion Picture Soundtrack)
Wobble	Crankdat & Tisoki	Monstercat Uncaged Vol. 6
Necromancer Theme (From "Castle Crashers")	FamilyJules7x	Video Game Guitar Covers, Vol. 2
Jack Theme Suite	Klaus Badelt	Pirates of the Caribbean: Dead Man's Chest (Tiësto Remixes) - EP
Geralt of Rivia	Sonya Belousova & Giona Ostinelli	The Witcher (Music from the Netflix Original Series)
Go Tell Aunt Rhody - Resident Evil (Full Version)	Michael A. Levin feat. Jordan Reyne	Resident Evil 7 Biohazard (Original Soundtrack)
Come and Get Your Love (From the "Guardians of the Galaxy" Original Motion Picture Soundtrack) [Re-Recorded]	Redbone	Flashback - One Hit Wonders
Piano Concerto No. 1 in B-Flat Minor, Op. 23 (Arr. for Violin and Band)	David Garrett	Rock Revolution (Deluxe)
All Along the Watchtower (From Sons of Anarchy)	Billy Valentine & The Forest Rangers	Songs of Anarchy, Vol. 4 (Music from Sons of Anarchy)
Aufstehn!	Seeed	Aufstehn! - EP
Silent Hill	Jonathan Davis	Silent Hill Downpour (Konami Original Game Soundtrack) [feat. Jonathan Davis]
Gas Gas Gas (From "Initial D: Fifth Stage") [feat. Rena]	FalKKonE	Intense Symphonic Metal Covers, Vol. 15
Bludfire (feat. Sidney Samson) [Extended]	Eva Simons	Bludfire (feat. Sidney Samson) - Single
Zeitgeist	Unheilig	Alles hat seine Zeit - Best of Unheilig 1999-2014
Zelda's Lullaby (Live)	Video Games Live & Jillian Aversa	Level 4
Come Back	Alexa Vega & Anthony Stewart Head	Repo! The Genetic Opera (Original Motion Picture Soundtrack) [Deluxe Edition]
Cave Story Theme (From "Cave Story")	FamilyJules7x	Video Game Guitar Covers, Vol. 2
Checkpoint	Nitro Fun & Hyper Potions	Monstercat 027 - Cataclysm
F**k ihn doch	Alligatoah	Triebwerke (Premium Edition)
Chrono Trigger: Main Theme	London Philharmonic Orchestra & Andrew Skeet	The Greatest Video Game Music 2
A Puzzling Quagmire	Ace Waters & RichaadEB	Determination
The Children	Ramin Djawadi, The Czech Film Orchestra & The Czech Film Choir	Game of Thrones (Music from the HBO® Series - Season 4)
One Reason (From "Deadman Wonderland") [feat. Rena]	FalKKonE	Intense Symphonic Metal Covers, Vol. 18
Strictly Impersonal (Rude Buster)	RichaadEB & Amie Waters	Anointed Merit: Prelude
Irgendwo in Vegas	257ers & Alligatoah	Boomshakkalakka
Toss a Coin to Your Witcher	Sonya Belousova, Giona Ostinelli & Joey Batey	The Witcher (Music from the Netflix Original Series)
Inside out (Radio Edit) [Bonus]	Five Finger Death Punch	F8
Guten Morgen Deutschland (Bonus Track)	Callejon	Kind im Nebel - EP
Yell! Dead Cell (From "Metal Gear Solid 2")	FamilyJules7x	Video Game Guitar Covers, Vol. 2
Let's See	Beatsteaks	Boombox (Deluxe Version)
Thriller (Metal Version) [feat. C.J. Pierce]	Leo	Thriller (Metal Version) [feat. C.J. Pierce] - Single
Sins of the Father (From "Metal Gear Solid V: The Phantom Pain") [Orchestral Mix]	Otaku Attack	Visions of Tomorrow (Vol.1) [Instrumental Covers]
Whirlwind (Live)	New Model Army	Original Album Series
Elder Scrolls – Skyrim: Far Horizons	London Philharmonic Orchestra, Andrew Skeet & Crouch End Festival Chorus	The Greatest Video Game Music 2
Battle of the Holy (From "Castlevania: Adventure")	FamilyJules7x	Video Game Guitar Covers, Vol. 2
Before I Get Old (2005 Remastered Version)	New Model Army	Original Album Series
Hyrule Market (From "the Legend of Zelda: Ocarina of Time")	FamilyJules7x	Video Game Guitar Covers, Vol. 3
Bullets from Another Dimension	Beatsteaks	Boombox (Deluxe Version)
Under a Clear Blue Sky	Beatsteaks	Boombox (Deluxe Version)
Sitting on Top of the World	Chris Goss & The Forest Rangers	Songs of Anarchy, Vol. 3 (Music from "Sons of Anarchy")
Oase de Dans (feat. ToxicxEternity)	Ace Waters & RichaadEB	Determination
Rave in the Grave	AronChupa & Little Sis Nora	Rave in the Grave - Single
Legends Never Die	League of Legends & Against The Current	Legends Never Die - Single
