DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AL,2019,80.7,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AL,2020,79.6,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AL,2021,77.7,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AL0,2019,80.7,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AL0,2020,79.6,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AL01,2019,80.2,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AL01,2020,79.5,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AL02,2019,83.4,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AL02,2020,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AL03,2019,78.9,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AL03,2020,78.2,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT,2019,84.2,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT,2020,83.6,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT,2021,83.7,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT1,2019,83.6,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT1,2020,83.1,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT1,2021,82.8,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT11,2019,84.4,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT11,2020,83.7,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT11,2021,83.6,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT12,2019,83.8,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT12,2020,83.6,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT12,2021,83.0,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT13,2019,83.4,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT13,2020,82.5,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT13,2021,82.4,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT2,2019,84.7,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT2,2020,83.8,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT2,2021,84.3,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT21,2019,84.7,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT21,2020,84.0,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT21,2021,84.4,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT22,2019,84.7,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT22,2020,83.8,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT22,2021,84.2,
